Modelo,Almacenamiento,Precio,Color
iPhone 17 Pro Max,256,1370,Orange
iPhone 17 Pro Max,256,1380,Blue
iPhone 17 Pro Max,256,1430,Silver
iPhone 17 Pro Max,512,1570,Orange
iPhone 17 Pro Max,512,1610,Blue
iPhone 17 Pro Max,512,1630,Silver
iPhone 17 Pro Max,1024,1830,Orange
iPhone 17 Pro Max,1024,1830,Blue
iPhone 17 Pro,256,1280,Orange
iPhone 17 Pro,256,1300,Blue
iPhone 17 Pro,256,1300,Silver
iPhone 17 Pro,512,1470,Orange
iPhone 17 Pro,512,1480,Blue
iPhone 17 Pro,512,1480,Silver
iPhone 17,256,899,
iPhone 17,512,999,
iPhone 17 Air,256,899,
iPhone 17 Air,512,999,
iPhone 16,128,799,
iPhone 16,256,899,
iPhone 16e,128,599,
iPhone 16e,256,699,
iPhone 15,128,699,
iPhone 15,256,799,
